country;expense_in;tourism_in;ppp;tourism_out;expense_out
ARGENTINA;3352.8;3012;7990;4592;5282
AUSTRALIA;11664;3825;21770;3161;8062
BELARUS;54;355;1550;901;138
BOLIVIA;137;387;1000;299;98
BRAZIL;1398;4818;4820;4171;6019
BULGARIA;1150;2667;1390;2592;654
CAMBODIA;129;287;290;41;35
CANADA;11049;18870;20760;17648;13384
CHINA;13229;25073;800;8426;9943
COLOMBIA;1216;674;2510;1093;1455
COSTA RICA;1038;943;3480;330;466
EGYPT;2942;3213;1210;2854;1271
FINLAND;2371;2644;25790;4743;2565
GABON;110;195;3930;203;158
HONDURAS;175;321;750;202;142
ICELAND;372;232;29000;227;399
ISRAEL;3598;1942;17710;2983;3233
ITALY;31335;34933;22140;19352;20521
JORDAN;1083;1772;1600;1347;642
KYRGYZSTAN;12;59;360;33;25
MALAYSIA;3237;5551;3600;25631;2160
MEXICO;8307;19392;4610;9637;4834
MOLDOVA;64;19;460;28;73
MOROCCO;1934;3095;1380;1275;496
NEPAL;248;464;210;122;107
NICARAGUA;103;406;890;422;94
PANAMA;492;431;3460;211;245
PARAGUAY;128;350;1720;318;223
PERU;947;726;2130;538;642
PHILIPPINES;1431;2149;1200;1817;2022
POLAND;8321;18780;4380;49328;4524
ROMANIA;351;2966;1520;6893;504
SOUTH AFRICA;3419;5732;3370;3363;2500
SPAIN;31592;41892;15650;4794;7119
SRI LANKA;369;381;810;518;326
THAILAND;7954;7843;2060;1412;2246
TUNISIA;1980;4718;2190;1526;271
UKRAINE;539;6208;850;7773;487
UNITED KINGDOM;31658;23710;24670;50872;41458
UNITED STATES OF AMERICA;105095;46377;32150;55696;78423
VENEZUELA;769;685;3340;752;1319
ZIMBABWE;158;1986;590;213;131
