country;expense_in;tourism_in;ppp;tourism_out;expense_out
ALBANIA;1623;3156;4370;3959;1374
ARGENTINA;5538;5587;13140;7266;8255
ARMENIA;490;963;3680;965;556
AZERBAIJAN;2634;1986;6290;3874;2617
BELARUS;986;119;6400;493;948
BOLIVIA;631;798;2280;788;502
BRAZIL;6890;5677;12160;8466;26202
BULGARIA;4202;6541;7070;3758;1475
CAMBODIA;2663;3584;880;792;406
CANADA;20696;16344;51020;32276;43010
CHILE;3114;3554;14350;2837;2400
CHINA;54937;57725;5870;83183;109898
COLOMBIA;4363;2175;7140;3165;4363
COSTA RICA;2557;2343;9040;773;567
CZECH REPUBLIC;8174;10123;19280;5419;4556
EGYPT;10823;11196;2810;5678;3037
ESTONIA;1588;2744;16800;1147;959
FINLAND;5415;4226;48670;9055;5839
FRANCE;64063;83051;43180;25450;50052
GEORGIA;1565;1790;3290;2734;471
GREECE;14671;15518;23690;4681;3006
HONDURAS;683.7;895;2090;464;549
HUNGARY;6149;10353;12830;16143;2457
INDIA;18340;6578;1500;14920;14107
INDONESIA;9463;8044;3580;7454;9055
IRELAND;9064;7550;41460;6600;6001
ISRAEL;6180;2886;32160;4349;4851
ITALY;43036;46360;36020;28810;32798
JORDAN;5123;4162;4660;1567;1257
KAZAKHSTAN;1572;4437;9780;9066;2022
LATVIA;1068;1435;13910;1398;864
MEXICO;13320;23403;9580;15581;10735
MOLDOVA;279;11;2150;146;396
MOROCCO;8491;9375;2880;2316;2095
NEPAL;379;803;690;862;562
OMAN;1781;1241;16640;2888;2184
PANAMA;4534;1606;9170;447;691
PARAGUAY;291;579;3440;400;363
PERU;3074;2846;5650;2296;1900
POLAND;11841;14840;13190;9300;9129
SAUDI ARABIA;8400;16332;23690;18614;17986
SLOVAKIA;2365;6235;17400;2689;2307
SOUTH AFRICA;11202;9188;7640;5031;7145
SPAIN;63253;57464;30120;12422;21101
SRI LANKA;1756;1006;2910;1269;1219
SWAZILAND;30.3;889;2860;1403;91
SWEDEN;12815;12372;58600;15548;17964
THAILAND;37769;22354;5180;5721;7887
TURKEY;31566;35698;10800;5803;4585
UGANDA;1157;1197;600;382;642
UKRAINE;5988;23013;3500;21433;5536
UNITED KINGDOM;46405;29282;40600;56538;65176
UNITED STATES OF AMERICA;200997;66657;52540;60697;129902
URUGUAY;2219;2695;13910;1816;1043
VENEZUELA;904;988;12500;1734;3202
