country;expense_in;tourism_in;ppp;tourism_out;expense_out
ALBANIA;1479;1062;3530;2979;1331
ARGENTINA;4984;4562;7340;4167;5063
ARMENIA;349;511;2710;468;363
AZERBAIJAN;317;732;2710;1631;381
BELARUS;479;105;4310;517;724
BOLIVIA;326;573;1240;526;385
BRAZIL;5284;5026;5980;4651;10434
BULGARIA;4181;5151;4720;4515;2142
CAMBODIA;1169;2015;580;996;194
CANADA;17961;17935;41230;25163;31099
CHILE;2226;2507;8740;2047;2042
CHINA;41126;54720;2490;40954;33269
COLOMBIA;2586;2254;4070;2028;2460
COSTA RICA;2221;1980;5640;577;751
CZECH REPUBLIC;7775;9370;15740;9048;3704
EL SALVADOR;793;1339;3250;1012;363
ESTONIA;1416;1900;13520;677;804
FINLAND;4287;3519;46040;5749;4812
FRANCE;63902;80853;40250;28103;46051
HONDURAS;546.6;804;1620;315;309
HUNGARY;5628;8638;11780;17056;3088
ICELAND;848;485;62220;460;1336
INDIA;11234;5082;950;9783;10690
INDONESIA;5831;5506;1600;5158;6578
IRELAND;9263;8332;50440;7713;8785
ISRAEL;4405;2067;23780;4147;4669
ITALY;46144;43654;35830;27734;32754
JORDAN;2754;3431;3030;2094;1024
KAZAKHSTAN;1214;3876;4980;4544;1396
KYRGYZSTAN;392;1656;610;559;215
LATVIA;881;1653;11120;3398;1021
MEXICO;14055;21606;8850;15257;9918
MOLDOVA;229;13;1160;82;290
MOROCCO;8307;7408;2250;2669;1418
NEPAL;234;527;380;469;402
NORWAY;5322;4377;78400;3395;13256
OMAN;905;1223;13470;2263;952
PANAMA;1806;1103;6300;314;457
PARAGUAY;121;416;1820;242;184
PERU;2007;1916;3180;1915;1243
PHILIPPINES;5523;3092;1900;3066;3351
POLAND;11686;14975;9970;47561;8342
PORTUGAL;12948;12321;20770;20989;4866
SAUDI ARABIA;6907;11531;15830;4126;21031
SLOVAKIA;2352;7269;14840;3603;1825
SOUTH AFRICA;10226;9091;5970;4433;6104
SPAIN;65020;58666;29920;11276;24355
SRI LANKA;750;494;1540;862;709
SWAZILAND;32.2;869;2720;1130;63
THAILAND;20623;14464;3270;4018;6887
TUNISIA;3373;6762;3550;2743;530
TURKEY;21662;26122;8500;4956;4254
UGANDA;402;642;380;272;220
UKRAINE;5320;23122;2570;17335;4022
UNITED KINGDOM;48087;30870;46110;69450;85177
UNITED STATES OF AMERICA;144223;56135;48640;64049;112788
URUGUAY;928;1753;6370;635;354
VENEZUELA;972;756;7520;1410;2249
