country;expense_in;tourism_in;ppp;tourism_out;expense_out
ALBANIA;1849;3341;4460;4146;1689
AZERBAIJAN;2713;2160;7590;4244;3163
BELARUS;1183;137;7340;741;1236
CHILE;3134;3674;14910;3169;2776
COSTA RICA;2953;2527;10120;798;586
GREECE;19481;22033;22090;5802;4001
HUNGARY;7490;12140;13470;16340;2718
INDONESIA;11152;9435;3630;8770;10263
LATVIA;1244;1843;15660;1362;910
MEXICO;16656;29346;9860;18261;12616
MOLDOVA;317;11;2550;180;451
PANAMA;5490;1745;11130;706;1060
THAILAND;42077;24810;5370;6444;8703
UKRAINE;2263;12712;3560;22438;5470
UNITED STATES OF AMERICA;230757;74757;55200;68303;145678
URUGUAY;1850;2682;16350;2396;1623
