country;expense_in;tourism_in;ppp;tourism_out;expense_out
ALBANIA;1670;2857;4510;3928;1567
ARGENTINA;4918;5571;14220;7544;8150
ARMENIA;483;1084;3780;1083;579
AZERBAIJAN;2618;2130;7350;4285;3032
BELARUS;1156;137;6780;708;1333
BOLIVIA;639;798;2620;837;660
BRAZIL;7014;5813;12310;8666;29245
BULGARIA;4632;6898;7280;3930;1755
CAMBODIA;2895;4210;960;872;469
CANADA;20941;16059;52570;32977;43092
CHILE;3144;3576;15270;2999;2435
CHINA;56401;55686;6740;98185;138298
COLOMBIA;4759;2288;7770;3605;4485
COSTA RICA;2908;2428;9780;790;561
CZECH REPUBLIC;7792;10300;18970;5304;4698
EGYPT;6747;9174;2940;5782;3261
FRANCE;66064;84726;43550;26243;53157
GEORGIA;1916;2065;3560;3220;537
GREECE;17436;17920;22610;4594;3768
HONDURAS;618.1;863;2190;471;505
HUNGARY;6671;10624;13260;16038;2526
INDIA;19042;6968;1530;16626;13840
INDONESIA;10302;8802;3740;7973;10280
IRELAND;9538;8260;43080;6579;6222
ISRAEL;6452;2962;33930;4757;5176
ITALY;46184;47704;35430;27798;33507
JORDAN;5145;3945;4940;1498;1192
KAZAKHSTAN;1717;4926;11560;10144;2033
LATVIA;1190;1536;15280;1246;900
MEXICO;14311;24151;9770;15911;11970
MOLDOVA;318;11.5;2470;157;434
MOROCCO;8201;10046;2990;2194;2002
NEPAL;457;798;720;983;594
OMAN;1913;1392;16870;3103;2390
PANAMA;5119;1658;10860;619;796
PARAGUAY;299;610;4190;440;425
PERU;3925;3164;6230;2364;2114
POLAND;12366;15800;13440;10050;8972
SAUDI ARABIA;8690;15772;25140;19154;18648
SOUTH AFRICA;10468;9537;7410;5168;6491
SRI LANKA;2506;1275;3180;1262;1808
SWAZILAND;13.3;968;2750;1573;96
THAILAND;45740;26547;5320;5970;8230
TURKEY;35037;37795;10970;7526;5253
UGANDA;1204;1206;620;378;592
UKRAINE;5931;24671;3760;23761;6300
UNITED KINGDOM;52739;31063;41590;57792;67403
UNITED STATES OF AMERICA;214542;69973;54070;61900;136136
URUGUAY;2009;2683;15640;2281;1504
VENEZUELA;926;986;11780;1931;5417
