country;expense_in;tourism_in;ppp;tourism_out;expense_out
ARGENTINA;3195;2909;7440;4953;5460
ARMENIA;52;45;660;111;56
AUSTRALIA;13016;4530;21110;3498;8780
BELARUS;188;60;1380;1289;247
BOLIVIA;101;319;990;201;116
BRAZIL;1969;5313;3850;3228;4548
BULGARIA;1364;2785;1680;2337;764
BURUNDI;1.4;29;130;28;..
CAMBODIA;345;466;300;41;52
CANADA;13035;19627;22530;19182;15125
CHILE;1179;1742;5020;1319;904
CHINA;17318;31229;930;10473;14169
COLOMBIA;1313;557;2320;1235;1452
COSTA RICA;1477;1088;3710;381;551
EGYPT;4657;5116;1420;2964;1206
EL SALVADOR;437;795;2160;923;219
ESTONIA;657;1220;4130;1800;253
FINLAND;2035;2714;26420;5914;2293
FRANCE;38534;77190;25150;19886;26703
GABON;99;155;3090;168;183
HONDURAS;263;471;920;274;198
INDIA;3598;2649;450;4416;3686
IRELAND;3517;6646;23920;3783;2626
ISRAEL;4611;2417;18790;3530;3733
ITALY;28706;41181;21820;21993;18169
JORDAN;935;1580;1790;1625;387
KAZAKHSTAN;403;1471;1260;1247;483
KYRGYZSTAN;20;59;280;47;28
LATVIA;172;509;3740;2596;281
MALAYSIA;5873;10222;3420;30532;2543
MEXICO;9133;20641;5750;11079;6365
MOLDOVA;57;18;370;32;86
MOROCCO;2280;4278;1310;1508;506
NEPAL;219;464;230;155;109
NORWAY;2521;3104;36560;2394;4893
PANAMA;628;484;3640;216;241
PARAGUAY;88;289;1360;175;154
PERU;861;800;1970;730;641
PHILIPPINES;2334;1992;1220;1670;1841
POLAND;6128;17400;4690;56677;3417
ROMANIA;394;3274;1700;6388;447
SOUTH AFRICA;3338;5872;3140;3834;2684
SPAIN;32656;46403;15900;4100;7710
SRI LANKA;388;400;860;524;383
THAILAND;9935;9579;1950;1909;3218
TUNISIA;1977;5058;2310;1632;310
UKRAINE;563;6431;700;13422;561
UNITED KINGDOM;29978;23212;27230;56837;47009
UNITED STATES OF AMERICA;120912;51238;36070;61327;91473
URUGUAY;827;1968;7050;667;381
VENEZUELA;469;469;4070;954;1647
