country;expense_in;tourism_in;ppp;tourism_out;expense_out
ARGENTINA;3175;2898;7540;4786;5228
AUSTRALIA;12866;4109;21430;3210;8574
BELARUS;92;75;1400;934;133
BOLIVIA;124;342;980;253;117
BRAZIL;1718;5107;4100;2863;3551
BULGARIA;1184;2472;1490;2376;747
CAMBODIA;240;368;290;49;41
CANADA;12024;19411;21250;18368;13999
CHINA;15006;27047;850;9232;11621
COLOMBIA;1231;546;2280;1098;1339
COSTA RICA;1256;1032;3470;353;509
DOMINICAN REPUBLIC;..;2649;2470;363;391
EGYPT;4361;4490;1320;2886;1218
EL SALVADOR;408;658;2040;787;205
FINLAND;2236;2454;26040;5314;2525
FRANCE;37770;73147;25560;16709;22795
GABON;143;178;3270;187;195
HONDURAS;214;371;790;235;166
ICELAND;380;263;30220;257;440
IRELAND;3403;6403;22540;3576;2712
ISRAEL;4800;2312;17400;3203;3411
ITALY;29571;36516;21910;18962;19590
JORDAN;1016;1790;1650;1561;536
KYRGYZSTAN;18;48;300;45;27
LATVIA;153;544;3220;2256;321
MALAYSIA;4403;7931;3350;26067;2382
MEXICO;8135;19043;5080;10352;5192
MOLDOVA;49;14;400;37;69
MOROCCO;2177;3817;1330;1545;578
NEPAL;229;492;220;125;116
NICARAGUA;128;468;930;452;114
NORWAY;2751;3223;35550;2271;5185
PANAMA;506;457;3530;221;259
PARAGUAY;95;269;1560;281;181
PERU;911;694;2020;513;652
PHILIPPINES;2652;2171;1180;1755;1737
POLAND;6498;17950;4450;55097;3810
ROMANIA;306;3209;1580;6274;428
SOUTH AFRICA;3407;5890;3230;3875;2717
SPAIN;33784;45440;15660;3519;7803
SRI LANKA;414;436;820;497;341
THAILAND;9416;8651;1950;1655;2870
TUNISIA;2118;4832;2300;1480;276
UKRAINE;503;4232;760;7399;460
UNITED KINGDOM;30807;23341;26020;53881;45536
UNITED STATES OF AMERICA;111475;48701;33780;57222;82513
VENEZUELA;643;587;3530;754;1483
