country;expense_in;tourism_in;ppp;tourism_out;expense_out
ALBANIA;2014;1711;4280;3404;1693
ARGENTINA;4476;4308;9260;4981;5766
ARMENIA;377;575;3250;526;398
AZERBAIJAN;545;1005;4800;2363;488
BANGLADESH;95;267;710;2254;661
BELARUS;563;95;5590;316;752
BOLIVIA;306;599;1640;518;388
BRAZIL;5635;4802;7990;4950;12897
BULGARIA;4273;5739;6420;4993;1955
CAMBODIA;1463;2162;690;340;163
CANADA;15568;15737;43060;26204;30065
CHILE;2350;2760;10030;1909;1504
CHINA;42632;50875;3650;47656;47108
COLOMBIA;3050;2364;5090;2122;2801
COSTA RICA;2001;1923;6300;579;462
CZECH REPUBLIC;8164;8848;18650;8904;4336
EGYPT;11757;11914;2140;4716;2941
ESTONIA;1445;2059;14470;752;696
FINLAND;4104;3423;48590;5832;5226
FRANCE;58858;76764;43760;25140;45050
GREECE;16027;14915;29060;3835;4120
HONDURAS;616.1;836;1840;395;361
HUNGARY;7013;9058;13220;16640;3251
INDONESIA;6053;6324;2150;5053;6908
IRELAND;8458;7189;46570;7047;7934
ISRAEL;5067;2321;27210;4007;4241
ITALY;41935;43239;37690;29060;34396
JORDAN;3472;3789;3900;2054;1202
KAZAKHSTAN;1185;2755;6780;5423;1319
LATVIA;1013;1323;13930;3268;906
MEXICO;12542;22346;8470;14104;8737
MOLDOVA;240;7;1570;93;307
MOROCCO;7980;8341;2770;2293;1713
NEPAL;439;510;490;589;572
OMAN;1092;1521;16170;1645;1295
PANAMA;2280;1200;7690;336;503
PARAGUAY;225;439;2450;288;231
PERU;2440;2140;3920;1891;1404
PHILIPPINES;2916;3017;2490;3188;4056
POLAND;9843;11890;12400;39270;7888
SAUDI ARABIA;6744;10897;17940;6032;21312
SLOVAKIA;2539;5298;17010;3230;2249
SOUTH AFRICA;8684;7012;5900;4424;6421
SPAIN;59743;52178;32770;12017;22787
SRI LANKA;754;448;1970;963;735
SWAZILAND;40.1;908;2670;1245;98
THAILAND;19814;14150;3850;4653;5749
TUNISIA;3524;6901;4130;2623;478
TURKEY;26331;30187;9130;5561;5061
UGANDA;683;807;490;311;351
UKRAINE;4349;20798;2840;15334;3751
UNITED KINGDOM;36836;28199;42650;58614;60622
UNITED STATES OF AMERICA;146002;55103;48050;62051;102953
URUGUAY;1460;2055;8770;826;442
VENEZUELA;1055;562;10150;1651;2275
