country;expense_in;tourism_in;ppp;tourism_out;expense_out
ARGENTINA;2660;3457;3770;3904;3208
ARMENIA;188;263;1160;221;216
AUSTRALIA;20453;4774;25500;4369;14224
AZERBAIJAN;79;989;950;1473;140
BANGLADESH;76;271;490;1565;442
BELARUS;362;68;2180;515;500
BOLIVIA;283;480;970;346;232
BRAZIL;3389;4794;3280;2968;3752
BULGARIA;2796;4630;3020;3882;1935
CAMBODIA;673;1055;400;239;80
CANADA;15135;19145;29220;19595;19267
CENTRAL AFRICAN REPUBLIC;7.8;8;300;7;32
CHILE;1571;1785;5310;1504;1251
CHINA;27755;41761;1500;28853;21360
COLOMBIA;1369;791;2580;1405;1469
COSTA RICA;1586;1453;4570;425;481
CZECH REPUBLIC;4931;9047;10210;6643;2682
EGYPT;6328;7795;1230;5210;1543
EL SALVADOR;748;951;2660;1079;373
FINLAND;2975;2840;35200;5798;3383
FRANCE;52108;74433;31500;21131;36029
HONDURAS;420;641;1290;295;300
HUNGARY;4009;12212;8680;17558;2482
INDIA;6307;3457;620;6213;5783
INDONESIA;5226;5321;1080;3941;4569
IRELAND;6075;6953;36940;5409;5291
ISRAEL;2908;1506;19930;3614;3663
ITALY;37870;37071;28220;23349;24064
JORDAN;1621;2853;2280;1420;585
KAZAKHSTAN;803;3073;2300;3915;997
KYRGYZSTAN;92;398;400;239;73
LATVIA;343;1079;6600;2457;428
MALAYSIA;9183;15703;4710;30761;3822
MEXICO;11610;20618;7390;12494;8034
MOLDOVA;112;24;730;68;135
MOROCCO;4540;5477;1740;1603;912
NEPAL;260;385;290;286;205
NORWAY;3531;3628;54110;2960;8894
PANAMA;903;621;4200;256;294
PARAGUAY;87;309;1130;170;121
PERU;1232;1350;2300;1635;852
PHILIPPINES;2390;2291;1400;1920;1526
POLAND;6499;14290;6260;37226;5092
PORTUGAL;8858;10639;16120;17141;3369
RUSSIAN FEDERATION;7262;19892;3410;24507;16082
SPAIN;49996;52430;22120;5121;14864
SRI LANKA;808;566;1070;680;499
THAILAND;13054;11737;2360;2709;5343
TUNISIA;2432;5998;2920;2312;427
UGANDA;268;512;270;231;158
UKRAINE;2931;15629;1270;15588;2660
UNITED KINGDOM;37166;25678;36170;64194;69076
UNITED STATES OF AMERICA;115689;46086;43680;61809;94764
URUGUAY;591;1756;4130;569;267
VENEZUELA;554;486;4050;816;1604
