country,expense_in,tourism_in,ppp,tourism_out,expense_out
ARGENTINA,2306,2995,3640,3088,2997
ARMENIA,90,206,950,169,97
AUSTRALIA,16647,4354,21110,3388,10135
AZERBAIJAN,70,768,820,1475,120
BANGLADESH,59,245,450,1414,389
BELARUS,339,64,1630,1108,436
BOLIVIA,243,427,920,304,197
BRAZIL,2673,4133,2920,3229,2874
BULGARIA,2051,4048,2350,3403,1467
CAMBODIA,441,701,350,60,60
CANADA,12236,17534,25210,17739,16309
CENTRAL AFRICAN REPUBLIC,4,6,260,6,31
CHILE,1309,1614,4650,1341,1109
CHINA,18707,32970,1270,20222,16716
COLOMBIA,1191,625,2340,1177,1349
COSTA RICA,1424,1239,4200,373,434
CZECH REPUBLIC,4069,7641,8060,7213,2177
EGYPT,4704,5746,1290,3644,1465
EL SALVADOR,664,720,2470,940,311
ESTONIA,883,1462,5710,2075,404
FINLAND,2676,2601,28680,5585,2954
FRANCE,45990,75048,26020,18576,32618
GABON,84,222,3870,236,239
HONDURAS,372,611,1200,277,274
INDIA,4560,2726,530,5351,4385
INDONESIA,4461,4467,900,3478,4427
IRELAND,5206,6764,29680,4929,4832
ISRAEL,2473,1063,18390,3299,3341
ITALY,32591,39604,23270,26817,23731
JORDAN,1266,2353,2000,1229,503
KAZAKHSTAN,638,2410,1800,2374,783
KYRGYZSTAN,62,342,340,116,35
LATVIA,271,971,5560,2286,365
MALAYSIA,6799,10577,4130,32201,3401
MEXICO,10058,18665,6860,11044,7252
MOLDOVA,79,21,570,67,118
MOROCCO,3802,4761,1470,1612,845
NEPAL,232,338,260,258,119
NORWAY,2989,3269,44760,2588,7089
PANAMA,804,566,3830,227,267
PARAGUAY,81,268,1050,153,115
PERU,1023,1136,2090,1433,847
PHILIPPINES,1821,1907,1260,1803,1649
POLAND,4733,13720,5550,38730,3286
RUSSIAN FEDERATION,5879,20443,2580,20572,13427
SAUDI ARABIA,3418,7332,8870,4104,4165
SPAIN,43863,50854,18060,4094,11330
SRI LANKA,709,501,950,561,462
SWEDEN,6548,7627,32410,12649,9375
THAILAND,10456,10082,2050,2152,3538
TUNISIA,1935,5114,2500,2274,355
UKRAINE,1204,12514,980,14795,953
UNITED KINGDOM,30736,22787,30640,61424,58627
UNITED STATES OF AMERICA,101535,41218,39950,56250,82091
URUGUAY,419,1420,4240,495,236
VENEZUELA,378,337,3450,832,1311
