country,expense_in,tourism_in,ppp,tourism_out,expense_out
ARGENTINA,1114.02359108781,2289,7330,3815,1051.9003931848
BELARUS,173.913043478261,161,1370,626,161.341853035144
BOLIVIA,323.943661971831,284,850,249,289.156626506024
BRAZIL,544.952285283777,1991,3680,2600,1531.53846153846
BULGARIA,190.998268897865,3466,1360,3524,88.5357548240636
BURUNDI,71.3233601176471,34,150,36,0
CAMBODIA,322.727272727273,220,300,31,709.677419354839
CANADA,541.932435624852,16932,20670,18206,695.265297154784
COLOMBIA,634.024303073624,1399,2140,1057,1099.33774834437
COSTA RICA,971.974522292994,785,3220,273,1230.76923076923
CUBA,1482.47978436658,742,2550,72,0
EGYPT,1028.90978753048,2871,920,2683,510.9951546776
EL SALVADOR,646.808510638298,235,1590,348,284.48275862069
ETHIOPIA,1718.44660194175,103,150,120,250
FRANCE,521.296620192228,60033,25910,18686,1107.72771058547
HONDURAS,313.653136531365,271,640,149,664.429530201342
ICELAND,1626.31578947368,190,25350,166,0
IRELAND,559.940376297219,4818,16920,2547,0
ISRAEL,1576.07223476298,2215,15660,2259,1162.46126604692
JORDAN,905.116279069767,1075,1560,1128,637.411347517731
MALAYSIA,675.324675324675,7469,4010,20642,131.867067144657
MEXICO,338.273800701546,20241,4570,8450,424.497041420118
MOLDOVA,2218.75,32,470,71,1028.16901408451
MOROCCO,564.56571867794,2602,1230,1317,270.311313591496
NEPAL,639.118457300276,363,210,100,1670
NICARAGUA,181.494661921708,281,620,255,219.607843137255
NORWAY,947.916666666667,2880,32700,590,7594.53425254237
PANAMA,1078.26086956522,345,2830,185,978.378378378378
PARAGUAY,369.86301369863,438,1680,427,405.152224824356
PERU,1087.68267223382,479,1920,508,842.51968503937
PHILIPPINES,648.295454545455,1760,1020,1615,341.176470588235
POLAND,360.499609679938,19215,3220,36387,161.183939318988
ROMANIA,249.909321726514,2757,1470,5737,130.556039742025
SOUTH AFRICA,591.354723707665,4488,3850,2520,957.936507936508
SPAIN,783.762886597938,34920,14970,3648,1597.03947368421
SRI LANKA,910.669975186104,403,700,504,553.571428571429
THAILAND,1331.55926352129,6952,2730,1820,2632.41758241758
TUNISIA,446.116504854369,4120,1820,1778,165.354330708661
UNITED KINGDOM,1269.7177586445,21719,20690,41345,743.717509493288
UNITED STATES OF AMERICA,2164.06574634101,43318,29150,51285,1190.25056059277
VENEZUELA,1421.42857142857,700,2910,534,3468.16479400749
ZIMBABWE,106.382978723404,1363,600,256,414.0625
