country,expense_in,tourism_in,ppp,tourism_out,expense_out
ARGENTINA,839.393146743395,3823,4990,3894,912.686183872624
ARMENIA,761.755485893417,319,1520,269,255
AUSTRALIA,3928.08764940239,5020,30320,4756,16153
AZERBAIJAN,144.300144300144,693,1270,1830,188
BANGLADESH,394.230769230769,208,540,1767,371
BELARUS,3802.1978021978,91,2820,572,516
BOLIVIA,658.396946564886,524,1030,386,257
BRAZIL,777.902202314296,5358,3900,3365,5905
BULGARIA,633.24374612363,4837,3700,4235,1858
CAMBODIA,653.305203938115,1422,460,568,137
CANADA,846.35874487241,18771,33950,21099,22739
CENTRAL AFRICAN REPUBLIC,600,12,340,8,46
CHILE,829.797730636408,2027,6340,1725,1355
CHINA,680.253797346664,46809,1750,31026,24721
COLOMBIA,2026.79528403001,933,2920,1553,1934
COSTA RICA,1078.02263251936,1679,4890,487,556
CZECH REPUBLIC,613.781369629945,9404,12380,6963,2603
EGYPT,874.090247452693,8244,1240,5307,1932
EL SALVADOR,582.076308784383,1127,2870,1239,288
FINLAND,977.388535031847,3140,40100,5902,3622
FRANCE,695.29791433296,74988,36000,22480,38643
GAMBIA,546.296296296296,108,410,387,7
HONDURAS,690.936106983655,673,1390,284,321
HUNGARY,477.101914019441,9979,10410,18622,2721
ICELAND,1697.86096256684,374,50730,364,991
INDIA,1954.32508292932,3919,730,7185,8277
INDONESIA,1018.39264294282,5002,1220,4106,4740
IRELAND,924.587481249148,7333,44070,6113,6186
ISRAEL,1800.84077771939,1903,21230,3687,3780
ITALY,1050.96814833073,36513,32390,24796,26774
JORDAN,588.885169065952,2987,2490,1523,653
KAZAKHSTAN,254.852052179446,3143,2950,3004,940
KYRGYZSTAN,294.670846394984,319,450,201,94
LATVIA,399.641577060932,1116,7760,2959,655
MEXICO,584.120465434634,21915,7720,13305,8951
MOLDOVA,6000,23,890,57,170
MOROCCO,928.63255177135,5843,1960,2247,999
NEPAL,426.666666666667,375,310,373,221
NORWAY,1109.57112970711,3824,63790,3166,10400
OMAN,703.703703703704,891,10640,2018,863
PANAMA,1578.34757834758,702,4530,285,388
PARAGUAY,281.524926686217,341,1230,188,130
PERU,915.340547422024,1571,2540,1841,970
PHILIPPINES,1091.49828440717,2623,1520,2144,3286
POLAND,468.947368421053,15200,7330,40841,5894
PORTUGAL,852.05427817565,10612,18550,18110,3742
RUSSIAN FEDERATION,391.424272818455,19940,4450,28416,17963
SLOVAKIA,207.309184993532,6184,11330,2987,1122
SPAIN,949.06463497514,55914,25930,10464,18441
SRI LANKA,1327.86885245902,549,1210,727,552
SWAZILAND,92.3536439665472,837,2390,1082,60
THAILAND,1046.25226938705,11567,2590,3047,4917
TUNISIA,439.009093759799,6378,3190,2241,452
TURKEY,1024.02209835742,20273,6510,8246,3563
UGANDA,816.239316239316,468,300,189,185
UKRAINE,200.896148828768,17631,1540,16454,3078
UNITED KINGDOM,1399.65761974393,28039,41010,66494,71627
UNITED STATES OF AMERICA,2480.93728407105,49206,46340,63503,101421
URUGUAY,386.615044247788,1808,4720,658,331
VENEZUELA,1022.66288951841,706,4920,1067,1843
