country,expense_in,tourism_in,ppp,tourism_out,expense_out
ARGENTINA,934.339803498682,4173,6170,3892,4041892
ARMENIA,808.900523560209,382,1990,329,297329
AUSTRALIA,4030.01579778831,5064,34160,4941,17297941
AZERBAIJAN,294.721407624633,682,1890,1836,257836
BELARUS,4455.55555555556,90,3520,525,675525
BOLIVIA,633.397312859885,521,1120,472,360472
BRAZIL,912.298186167032,5017,4710,3880,7504880
BULGARIA,643.078712679333,5158,4150,4180,2103180
CAMBODIA,652.352941176471,1700,520,787,176787
CANADA,921.817684095264,18265,37610,22731,26089731
CENTRAL AFRICAN REPUBLIC,728.571428571429,14,350,11,47011
CHILE,839.325343985797,2253,7360,1887,1574887
CHINA,743.934445935928,49913,2050,34524,28276524
COSTA RICA,1081.15942028986,1725,5310,485,577485
CZECH REPUBLIC,702.589369954922,9539,13920,6393,2880393
EGYPT,940.666204024983,8646,1330,4531,2160531
EL SALVADOR,536.35652853792,1279,3040,1242,308242
ESTONIA,701.546391752577,1940,11510,438,706438
FINLAND,1041.48148148148,3375,42740,5756,4104756
FRANCE,700.587812516043,77916,37960,22240,39321240
GAMBIA,552,125,420,307,8307
HONDURAS,697.834912043302,739,1470,295,425295
HUNGARY,539.799114375203,9259,11250,16597,2335597
ICELAND,1663.50710900474,422,53470,440,1084440
INDIA,2004.72228468631,4447,810,8340,8746340
INDONESIA,1003.90063641963,4871,1380,4967,5462967
IRELAND,957.880264966879,8001,47940,6848,6984848
ISRAEL,2083.28767123288,1825,22110,3713,4088713
ITALY,1014.27249257148,41058,34210,25697,27462697
JORDAN,752.248062015504,3225,2720,2139,958139
KAZAKHSTAN,280.565167243368,3468,3860,3688,1063688
KYRGYZSTAN,246.736292428198,766,500,454,142454
LATVIA,405.211726384365,1535,9060,3151,791151
MEXICO,624.221420877628,21353,8280,14002,9401002
MOLDOVA,11538.4615384615,13,1030,68,224068
MOROCCO,1052.15004574565,6558,2130,2135,1115135
NEPAL,408.854166666667,384,340,415,261415
NORWAY,1053.80835380835,4070,69980,3236,11276236
OMAN,702.626641651032,1066,11640,2248,896248
PANAMA,1690.39145907473,843,5580,284,403284
PARAGUAY,288.659793814433,388,1470,210,144210
PERU,1031.37710633353,1721,2790,1857,1048857
PHILIPPINES,1424.9032711924,2843,1650,2745,3077745
POLAND,518.315252074027,15670,8440,44696,7698696
PORTUGAL,929.090586775394,11282,19330,18378,4164378
RUSSIAN FEDERATION,,,5800,29107,18879107
SLOVAKIA,251.5579875361,6579,12880,3149,1233149
SOUTH AFRICA,1097.07003334921,8396,5690,4339,5234339
SPAIN,992.052272257086,58004,27970,10678,20358678
SRI LANKA,1308.92857142857,560,1350,757,666757
SWAZILAND,86.0252004581902,873,2560,1072,55072
THAILAND,1201.99681666908,13822,2870,3382,6176382
TUNISIA,457.862595419847,6550,3370,2302,500302
TURKEY,1011.68323112709,18916,7510,8275,3525275
UGANDA,643.784786641929,539,340,254,196254
UKRAINE,212.18842416561,18936,1950,16875,3218875
UNITED KINGDOM,1431.33033209369,30654,43430,69536,76413536
UNITED STATES OF AMERICA,2486.96470957491,50977,48080,63663,106911663
URUGUAY,406.518010291595,1749,5380,666,305666
VENEZUELA,1127.00534759358,748,6050,1095,1808095
