country,expense_in,tourism_in,ppp,tourism_out,expense_out
ALBANIA,553.427117629452,3341,4460,4146,407.380607814761
AZERBAIJAN,1256.01851851852,2160,7590,4244,745.287464655985
BELARUS,8635.03649635037,137,7340,741,1668.01619433198
CHILE,853.021230266739,3674,14910,3169,875.986115493847
COSTA RICA,1168.57934309458,2527,10120,798,734.335839598997
GREECE,884.173739390914,22033,22090,5802,689.589796621855
HUNGARY,616.968698517298,12140,13470,16340,166.340269277846
INDONESIA,1181.98198198198,9435,3630,8770,1170.23945267959
LATVIA,674.986435160065,1843,15660,1362,668.135095447871
MEXICO,567.573093436925,29346,9860,18261,690.871255681507
MOLDOVA,28818.1818181818,11,2550,180,2505.55555555556
PANAMA,3146.13180515759,1745,11130,706,1501.4164305949
THAILAND,1695.96936719065,24810,5370,6444,1350.55865921788
UKRAINE,178.020767778477,12712,3560,22438,243.782868348338
UNITED STATES OF AMERICA,3086.76110598339,74757,55200,68303,2132.81993470272
URUGUAY,689.783743475019,2682,16350,2396,677.378964941569
