country,expense_in,tourism_in,ppp,tourism_out,expense_out
ARGENTINA,1051.90839694656,2620,6960,4762,1026.45947081058
ARMENIA,658.536585365854,123,710,110,536.363636363636
AUSTRALIA,2887.03494926719,4435,20110,3443,2338.94859134476
BELARUS,4459.01639344262,61,1300,1387,350.396539293439
BOLIVIA,376.582278481013,316,960,222,513.513513513514
BRAZIL,386.339828200293,4773,3290,2674,1408.00299177263
BULGARIA,396.107972379159,3186,1790,2730,306.227106227106
CAMBODIA,709.090909090909,605,310,37,1594.59459459459
CANADA,644.34168402866,19679,22870,18359,797.102238684024
CHILE,687.173534532792,1723,4850,1180,795.762711864407
CHINA,573.039466940031,33167,1010,12133,1235.63834171268
COLOMBIA,2407.46753246753,616,2300,1381,1126.71976828385
COSTA RICA,1183.90804597701,1131,3880,361,1202.21606648199
EGYPT,945.375258205187,4357,1450,3074,405.985686402082
EL SALVADOR,614.965986394558,735,2230,933,264.737406216506
ESTONIA,500.757575757576,1320,4310,1658,152.593486127865
FINLAND,730.714791224345,2826,25780,5824,419.299450549451
FRANCE,510.425254647483,75202,23940,19265,1388.47651180898
GABON,272.189349112426,169,3420,189,1354.49735449735
HONDURAS,501.930501930502,518,1030,279,734.767025089606
INDIA,1317.30390224675,2537,460,4564,956.836108676599
IRELAND,596.411144341256,6353,23930,4216,701.138519924099
ISRAEL,2386.28762541806,1196,19040,3561,1091.54731816905
ITALY,680.332634026742,39563,21080,22421,758.083939164176
JORDAN,528.708133971292,1672,1840,1755,239.316239316239
KAZAKHSTAN,272.086720867209,1845,1350,2294,331.734960767219
KYRGYZSTAN,323.232323232323,99,280,46,456.521739130435
LATVIA,258.883248730964,591,4320,2697,94.5494994438265
MALAYSIA,597.025440313112,12775,3520,36248,93.5499889649084
MEXICO,463.907117617365,19810,6240,12075,553.623188405797
MOLDOVA,3625,16,400,30,3000
MOROCCO,677.16894977169,4380,1320,1701,346.266901822457
NEPAL,529.085872576177,361,240,200,640
NORWAY,774.487471526196,3073,38250,2348,2009.36967632027
PANAMA,1281.31021194605,519,3600,200,1135
PARAGUAY,326.164874551971,279,1290,157,828.025477707006
PERU,846.836847946726,901,1900,1060,729.245283018868
PHILIPPINES,1119.08736783528,1797,1220,1787,1073.30721880246
POLAND,341.4,15000,4750,53122,67.6744098490268
RUSSIAN FEDERATION,242.894588065992,19457,1780,18030,541.320022185247
SOUTH AFRICA,562.640400898566,5787,2900,3733,633.806589874096
SPAIN,696.571605065376,48565,15580,4139,2045.42159942015
SRI LANKA,1029.67359050445,337,830,505,796.039603960396
SWEDEN,699.771228636792,7431,29390,10741,736.989107159482
THAILAND,925.490970097701,10133,1890,2011,1657.88165091994
TUNISIA,382.587711156488,5387,2280,1669,192.9298981426
UKRAINE,82.7338129496403,9174,730,14849,45.5249511751633
UNITED KINGDOM,1245.68677914403,20982,27040,58281,796.314407782982
UNITED STATES OF AMERICA,2324.95152044665,46927,36840,59442,1440.22744860536
URUGUAY,369.978858350951,1892,6500,531,636.53483992467
VENEZUELA,1159.24657534247,584,4540,933,1841.37191854234
