country,expense_in,tourism_in,ppp,tourism_out,expense_out
ARGENTINA,769.45328319352,3457,3770,3904,821.72131147541
ARMENIA,714.828897338403,263,1160,221,977.37556561086
AUSTRALIA,4284.24801005446,4774,25500,4369,3255.66491187915
AZERBAIJAN,79.8786653185035,989,950,1473,95.0441276306857
BANGLADESH,280.442804428044,271,490,1565,282.428115015974
BELARUS,5323.52941176471,68,2180,515,970.873786407767
BOLIVIA,589.583333333333,480,970,346,670.520231213873
BRAZIL,706.925323320818,4794,3280,2968,1264.15094339623
BULGARIA,603.887688984881,4630,3020,3882,498.454404945904
CAMBODIA,637.914691943128,1055,400,239,334.728033472803
CANADA,790.54583442152,19145,29220,19595,983.261035978566
CENTRAL AFRICAN REPUBLIC,975,8,300,7,4571.42857142857
CHILE,880.112044817927,1785,5310,1504,831.781914893617
CHINA,664.615310936041,41761,1500,28853,740.304301112536
COLOMBIA,1730.7206068268,791,2580,1405,1045.55160142349
COSTA RICA,1091.53475567791,1453,4570,425,1131.76470588235
CZECH REPUBLIC,545.042555543274,9047,10210,6643,403.733253048322
EGYPT,811.80243745991,7795,1230,5210,296.16122840691
EL SALVADOR,786.540483701367,951,2660,1079,345.690454124189
FINLAND,1047.53521126761,2840,35200,5798,583.477061055536
FRANCE,700.065831015813,74433,31500,21131,1705.03052387488
HONDURAS,655.226209048362,641,1290,295,1016.94915254237
HUNGARY,328.283655420898,12212,8680,17558,141.360063788586
INDIA,1824.41423199306,3457,620,6213,930.790278448415
INDONESIA,982.146213117835,5321,1080,3941,1159.35041867546
IRELAND,873.723572558608,6953,36940,5409,978.184507302644
ISRAEL,1930.94289508632,1506,19930,3614,1013.55838406198
ITALY,1021.55323568288,37071,28220,23349,1030.62229645809
JORDAN,568.173852085524,2853,2280,1420,411.971830985916
KAZAKHSTAN,261.30816791409,3073,2300,3915,254.661558109834
KYRGYZSTAN,231.155778894472,398,400,239,305.439330543933
LATVIA,317.886932344764,1079,6600,2457,174.196174196174
MALAYSIA,584.792714767879,15703,4710,30761,124.248236403238
MEXICO,563.1002037055,20618,7390,12494,643.028653753802
MOLDOVA,4666.66666666667,24,730,68,1985.29411764706
MOROCCO,828.920942121599,5477,1740,1603,568.933250155958
NEPAL,675.324675324675,385,290,286,716.783216783217
NORWAY,973.263506063947,3628,54110,2960,3004.72972972973
PANAMA,1454.10628019324,621,4200,256,1148.4375
PARAGUAY,281.553398058252,309,1130,170,711.764705882353
PERU,912.592592592593,1350,2300,1635,521.100917431193
PHILIPPINES,1043.21257092972,2291,1400,1920,794.791666666667
POLAND,454.793561931421,14290,6260,37226,136.786117229893
PORTUGAL,832.597048594793,10639,16120,17141,196.546292515022
RUSSIAN FEDERATION,365.071385481601,19892,3410,24507,656.220671644836
SPAIN,953.576196833874,52430,22120,5121,2902.55809412224
SRI LANKA,1427.56183745583,566,1070,680,733.823529411765
THAILAND,1112.20925279032,11737,2360,2709,1972.31450719823
TUNISIA,405.468489496499,5998,2920,2312,184.688581314879
UGANDA,523.4375,512,270,231,683.982683982684
UKRAINE,187.535990786359,15629,1270,15588,170.644085193739
UNITED KINGDOM,1447.38686813615,25678,36170,64194,1076.05072125121
UNITED STATES OF AMERICA,2510.28511912511,46086,43680,61809,1533.17478037179
URUGUAY,336.560364464692,1756,4130,569,469.244288224956
VENEZUELA,1139.91769547325,486,4050,816,1965.6862745098
