country,expense_in,tourism_in,ppp,tourism_out,expense_out
ALBANIA,1481.95669607057,1247,4080,3716,1647716
ARGENTINA,1126.59574468085,4700,8630,4614,5966614
ARMENIA,682.795698924731,558,3520,516,397516
AZERBAIJAN,366.251198465964,1043,3870,2162,458162
BELARUS,6358.69565217391,92,5470,380,860380
BOLIVIA,508.417508417508,594,1490,589,381589
BRAZIL,1209.70297029703,5050,7330,5244,13274244
BULGARIA,839.446366782007,5780,5940,5727,2607727
CAMBODIA,602.352941176471,2125,670,786,180786
CANADA,1061.19472640299,17142,44650,27034,33871034
CHILE,936.162361623616,2710,10140,1900,1790900
CHINA,831.872419838263,53049,3070,45844,41032844
COLOMBIA,1267.15580492016,2317,4660,2042,2777042
COSTA RICA,1212.54188606989,2089,6270,528,718528
CZECH REPUBLIC,984.530033073722,9373,18300,9665,5038665
ESTONIA,790.28379028379,2079,15060,692,939692
FINLAND,1360.03349148758,3583,49920,5854,5584854
FRANCE,858.403393168219,79218,43510,25506,50386506
GREECE,1103.33145115754,15939,28330,3765,3949765
HONDURAS,713.233601841197,869,1780,387,385387
HUNGARY,854.663036078965,8814,13150,17162,3874162
INDIA,2358.88699602499,5283,1030,10868,12093868
INDONESIA,1307.34680782804,6234,1940,5486,8806486
IRELAND,1241.83902317468,8026,51530,7877,10546877
ISRAEL,2141.91290824261,2572,25970,4207,4697207
ITALY,1140.89483783404,42734,37770,28284,37830284
JORDAN,949.048002145347,3729,3530,1972,1141972
KAZAKHSTAN,417.637271214642,3005,6150,4330,1365330
LATVIA,673.396674584323,1684,13360,3782,1253782
MEXICO,642.1874318608,22931,9350,14527,10260527
MOLDOVA,41857.1428571429,7,1500,85,359085
MOROCCO,1127.68117781444,7879,2540,3421,1913421
NEPAL,706,500,440,561,545561
OMAN,804.806991988347,1373,16380,2062,1199062
PANAMA,1770.64955894146,1247,7170,369,560369
PARAGUAY,299.065420560748,428,2360,278,214278
PERU,1164.2371234208,2058,3760,1913,1433913
PHILIPPINES,1049.06021025804,3139,2240,3355,4288355
POLAND,990.509259259259,12960,11920,50243,10739243
SAUDI ARABIA,459.104153960832,14757,18380,4087,16009087
SLOVAKIA,452.205328917658,6643,17110,3683,2599683
SOUTH AFRICA,956.839032527106,9592,6030,4429,6909429
SPAIN,1231.53587914394,57192,32440,11229,27168229
SRI LANKA,1833.33333333333,438,1770,966,777966
SWAZILAND,34.7883597883598,756,2770,1177,60177
THAILAND,1542.58091058694,14584,3740,3908,6703908
TUNISIA,554.468085106383,7050,3890,3118,558118
TURKEY,887.687969924812,29792,9340,4893,4513893
UGANDA,635.071090047393,844,430,337,315337
UKRAINE,264.136115367991,25449,3220,15499,4600499
UNITED KINGDOM,1519.34178223077,30142,46860,69011,82578011
UNITED STATES OF AMERICA,2839.67452204044,58007,49330,63653,119901653
URUGUAY,616.615067079463,1938,7690,734,466734
VENEZUELA,1569.38483547926,699,9230,1745,2595745
