country,expense_in,tourism_in,ppp,tourism_out,expense_out
ALBANIA,514.25855513308,3156,4370,3959,347.057337711543
ARGENTINA,991.229640236263,5587,13140,7266,1136.11340489953
ARMENIA,508.826583592939,963,3680,965,576.165803108808
AZERBAIJAN,1326.28398791541,1986,6290,3874,675.529168817759
BELARUS,8285.71428571429,119,6400,493,1922.92089249493
BOLIVIA,790.726817042607,798,2280,788,637.055837563452
BRAZIL,1213.66919147437,5677,12160,8466,3094.96810772502
BULGARIA,642.409417520257,6541,7070,3758,392.496008515168
CAMBODIA,743.024553571429,3584,880,792,512.626262626263
CANADA,1266.27508565835,16344,51020,32276,1332.56909158508
CHILE,876.195835678109,3554,14350,2837,845.964046528023
CHINA,951.702035513209,57725,5870,83183,1321.1593715062
COLOMBIA,2005.97701149425,2175,7140,3165,1378.51500789889
COSTA RICA,1091.3358941528,2343,9040,773,733.505821474774
CZECH REPUBLIC,807.468141855181,10123,19280,5419,840.745525004613
EGYPT,966.684530189353,11196,2810,5678,534.871433603381
ESTONIA,578.717201166181,2744,16800,1147,836.094158674804
FINLAND,1281.35352579271,4226,48670,9055,644.837106570955
FRANCE,771.369399525593,83051,43180,25450,1966.67976424361
GEORGIA,874.301675977654,1790,3290,2734,172.275054864667
GREECE,945.418223997938,15518,23690,4681,642.170476393933
HONDURAS,763.91061452514,895,2090,464,1183.18965517241
HUNGARY,593.934125374288,10353,12830,16143,152.202192900948
INDIA,2788.08148373366,6578,1500,14920,945.509383378016
INDONESIA,1176.40477374441,8044,3580,7454,1214.78400858599
IRELAND,1200.5298013245,7550,41460,6600,909.242424242424
ISRAEL,2141.37214137214,2886,32160,4349,1115.42883421476
ITALY,928.300258843831,46360,36020,28810,1138.42415827838
JORDAN,1230.89860643921,4162,4660,1567,802.169751116784
KAZAKHSTAN,354.293441514537,4437,9780,9066,223.031105228326
LATVIA,744.250871080139,1435,13910,1398,618.025751072961
MEXICO,569.157800282015,23403,9580,15581,688.98016815352
MOLDOVA,25363.6363636364,11,2150,146,2712.32876712329
MOROCCO,905.706666666667,9375,2880,2316,904.576856649395
NEPAL,471.980074719801,803,690,862,651.972157772622
OMAN,1435.13295729251,1241,16640,2888,756.232686980609
PANAMA,2823.16313823163,1606,9170,447,1545.86129753915
PARAGUAY,502.59067357513,579,3440,400,907.5
PERU,1080.11243851019,2846,5650,2296,827.526132404181
POLAND,797.911051212938,14840,13190,9300,981.612903225806
SAUDI ARABIA,514.327700220426,16332,23690,18614,966.261953368432
SLOVAKIA,379.310344827586,6235,17400,2689,857.939754555597
SOUTH AFRICA,1219.1989551589,9188,7640,5031,1420.19479228782
SPAIN,1100.74133370458,57464,30120,12422,1698.67976171309
SRI LANKA,1745.5268389662,1006,2910,1269,960.59889676911
SWAZILAND,34.0832395950506,889,2860,1403,64.8610121168924
SWEDEN,1035.80666020045,12372,58600,15548,1155.38976074093
THAILAND,1689.58575646417,22354,5180,5721,1378.60513896172
TURKEY,884.251218555661,35698,10800,5803,790.108564535585
UGANDA,966.583124477861,1197,600,382,1680.62827225131
UKRAINE,260.200756094381,23013,3500,21433,258.293286054215
UNITED KINGDOM,1584.76196981081,29282,40600,56538,1152.78219958258
UNITED STATES OF AMERICA,3015.39223187362,66657,52540,60697,2140.17167240556
URUGUAY,823.376623376623,2695,13910,1816,574.339207048458
VENEZUELA,914.97975708502,988,12500,1734,1846.59746251442
