country,expense_in,tourism_in,ppp,tourism_out,expense_out
ARGENTINA,1095.58316080055,2898,7540,4786,1092.35269536147
AUSTRALIA,3131.17546848382,4109,21430,3210,2671.02803738318
BELARUS,1226.66666666667,75,1400,934,142.398286937902
BOLIVIA,362.573099415205,342,980,253,462.450592885375
BRAZIL,336.4010182103,5107,4100,2863,1240.30736989172
BULGARIA,478.964401294498,2472,1490,2376,314.393939393939
CAMBODIA,652.173913043478,368,290,49,836.734693877551
CANADA,619.442584101798,19411,21250,18368,762.140679442509
CHINA,554.811993936481,27047,850,9232,1258.77383015598
COLOMBIA,2254.57875457875,546,2280,1098,1219.48998178506
COSTA RICA,1217.05426356589,1032,3470,353,1441.92634560907
DOMINICAN REPUBLIC,,2649,2470,363,1077.1349862259
EGYPT,971.269487750557,4490,1320,2886,422.037422037422
EL SALVADOR,620.060790273556,658,2040,787,260.482846251588
FINLAND,911.165444172779,2454,26040,5314,475.159954836282
FRANCE,516.357471940066,73147,25560,16709,1364.23484349752
GABON,803.370786516854,178,3270,187,1042.7807486631
HONDURAS,576.819407008086,371,790,235,706.382978723404
ICELAND,1444.86692015209,263,30220,257,1712.06225680934
IRELAND,531.469623613931,6403,22540,3576,758.389261744966
ISRAEL,2076.12456747405,2312,17400,3203,1064.9391195754
ITALY,809.809398619783,36516,21910,18962,1033.11886931758
JORDAN,567.597765363128,1790,1650,1561,343.369634849455
KYRGYZSTAN,375,48,300,45,600
LATVIA,281.25,544,3220,2256,142.287234042553
MALAYSIA,555.163283318623,7931,3350,26067,91.3799056278053
MEXICO,427.191093840256,19043,5080,10352,501.545595054096
MOLDOVA,3500,14,400,37,1864.86486486486
MOROCCO,570.343201467121,3817,1330,1545,374.11003236246
NEPAL,465.447154471545,492,220,125,928
NICARAGUA,273.504273504273,468,930,452,252.212389380531
NORWAY,853.552590753956,3223,35550,2271,2283.13518273888
PANAMA,1107.22100656455,457,3530,221,1171.94570135747
PARAGUAY,353.159851301115,269,1560,281,644.128113879004
PERU,1312.68011527378,694,2020,513,1270.95516569201
PHILIPPINES,1221.55688622754,2171,1180,1755,989.74358974359
POLAND,362.005571030641,17950,4450,55097,69.1507704593717
ROMANIA,95.3568089747585,3209,1580,6274,68.2180427159707
SOUTH AFRICA,578.438030560272,5890,3230,3875,701.161290322581
SPAIN,743.485915492958,45440,15660,3519,2217.39130434783
SRI LANKA,949.54128440367,436,820,497,686.116700201207
THAILAND,1088.42908334297,8651,1950,1655,1734.13897280967
TUNISIA,438.327814569536,4832,2300,1480,186.486486486486
UKRAINE,118.856332703214,4232,760,7399,62.1705635896743
UNITED KINGDOM,1319.86632963455,23341,26020,53881,845.121656984837
UNITED STATES OF AMERICA,2288.96737233322,48701,33780,57222,1441.98035720527
VENEZUELA,1095.4003407155,587,3530,754,1966.84350132626
