country,expense_in,tourism_in,ppp,tourism_out,expense_out
ALBANIA,812.414422638065,2191,4360,3443,516.990996224223
ARGENTINA,1057.08920187793,5325,10600,5307,1060.67458074242
ARMENIA,671.052631578947,684,3370,563,815.275310834813
AZERBAIJAN,618.75,1280,5370,3176,249.370277078086
BELARUS,5541.66666666667,120,5990,415,1602.40963855422
BOLIVIA,499.263622974963,679,1810,604,561.258278145695
BRAZIL,1155.39624103856,5161,9640,6498,917.666974453678
BULGARIA,667.273027947743,6047,6630,3676,1097.66050054407
CAMBODIA,666.267942583732,2508,740,505,3308.91089108911
CANADA,1136.81484678464,16219,44450,28680,642.887029288703
CENTRAL AFRICAN REPUBLIC,266.666666666667,54,470,38,378.947368421053
CHILE,864.691181720814,2801,10800,2219,1091.48264984227
CHINA,901.013222190285,55664,4300,57386,873.976231136514
COLOMBIA,2449.1103202847,1405,5540,2342,1469.25704526046
COSTA RICA,1037.61904761905,2100,7100,662,3291.54078549849
CZECH REPUBLIC,934.986672847375,8629,19210,8673,930.24328375418
EGYPT,970.251227670628,14051,2390,4618,2952.14378518839
ESTONIA,595.278246205734,2372,14570,955,1478.53403141361
FINLAND,1228.88283378747,3670,49330,6633,679.933665008292
FRANCE,723.611683494746,77648,43790,25041,2243.80016772493
GEORGIA,690.721649484536,1067,2680,2086,353.307766059444
GREECE,923.43572999267,15007,27580,3799,3647.80205317189
HONDURAS,726.187717265353,863,1920,408,1536.02941176471
HUNGARY,693.48054679285,9510,13050,16082,410.085810222609
INDONESIA,1087.81950592603,7003,2530,6235,1221.81234963913
IRELAND,1147.60302775442,7134,44100,6917,1183.60560936822
ISRAEL,2077.77381377096,2803,29480,4269,1364.25392363551
ITALY,918.213909136753,43626,37700,29823,1343.19149649599
JORDAN,1043.49893035417,4207,4120,2708,1621.12259970458
KAZAKHSTAN,413.239719157472,2991,7440,6019,205.349725868084
LATVIA,701.383831026948,1373,12720,3332,289.015606242497
MEXICO,542.206955775011,23290,8720,14334,880.982279893958
MOLDOVA,27750,8,1820,117,1897.4358974359
MOROCCO,880.275624461671,9288,2830,2175,3759.08045977011
NEPAL,626.865671641791,603,540,765,494.117647058824
OMAN,871.616932685635,1441,17120,1873,670.581954084357
PANAMA,1979.60725075529,1324,8170,392,6686.22448979592
PARAGUAY,522.58064516129,465,2930,302,804.635761589404
PERU,1076.55502392344,2299,4380,2058,1202.62390670554
POLAND,800.801924619086,12470,12630,42760,233.536014967259
SAUDI ARABIA,694.562211981567,10850,18470,17827,422.729567509957
SLOVAKIA,431.209602954755,5415,17130,2692,867.384843982169
SOUTH AFRICA,1276.81446618776,8074,6240,5165,1995.93417231365
SPAIN,1120.83072308598,52677,32130,12379,4769.52904111802
SRI LANKA,1596.33027522936,654,2260,1122,930.48128342246
SWAZILAND,59.2165898617512,868,2600,1141,45.0482033304119
THAILAND,1494.03865461847,15936,4300,5451,4367.82241790497
TUNISIA,503.694046066927,6903,4160,2250,1545.33333333333
TURKEY,839.114908812651,31364,9950,6557,4013.72578923288
UGANDA,847.780126849894,946,530,324,2475.30864197531
UKRAINE,221.478092722728,21203,2990,17180,273.341094295693
UNITED KINGDOM,1401.13094186252,28295,40470,55562,713.527230841222
UNITED STATES OF AMERICA,2799.46675554074,60010,48950,61061,2751.28150537987
URUGUAY,709.307267318317,2353,10390,1027,1625.12171372931
VENEZUELA,1509.50570342205,526,11530,1477,537.576167907921
