country,expense_in,tourism_in,ppp,tourism_out,expense_out 
ARGENTINA,1140.88277858177,2764,8110,4517,1100.951959265 
BELARUS,157.48031496063,254,1530,969,125.902992776058 
BOLIVIA,363.380281690141,355,960,285,336.842105263158 
BRAZIL,359.649122807018,2850,5030,4014,1546.58694569008 
BULGARIA,173.489932885906,2980,1330,3059,116.050997057862 
CAMBODIA,452.054794520548,219,320,45,622.222222222222 
CANADA,588.035542475522,17669,21130,19111,740.463607346554 
CHINA,531.173748422381,23770,750,5324,1731.78061607814 
COLOMBIA,2057.90297339593,639,2590,1071,1456.58263305322 
COSTA RICA,1060.41923551171,811,3390,288,1392.36111111111 
EGYPT,1106.61925601751,3656,1130,2722,525.716385011021 
HONDURAS,495.114006514658,307,720,183,628.415300546448 
ICELAND,1554.45544554455,202,28300,203,1610.83743842365 
ISRAEL,1860.69651741294,2010,18020,2707,1090.50609530846 
ITALY,905.569007263923,34692,22250,19078,1030.82084075899 
JORDAN,939.04593639576,1132,1580,1233,515.004055150041 
MALAYSIA,792.947995491869,6211,4570,26165,120.695585706096 
MEXICO,422.923879902847,19351,4310,8910,511.111111111111 
MOLDOVA,3523.80952380952,21,500,35,2142.85714285714 
MOROCCO,536.783854166667,3072,1380,1203,301.745635910224 
NEPAL,476.303317535545,422,220,132,1068.18181818182 
NICARAGUA,229.050279329609,358,890,330,260.606060606061 
NIGER,426.470588235294,68,190,10,5000 
NORWAY,951.147298297557,2702,37920,753,6316.06905710491 
PANAMA,1118.7648456057,421,3230,194,1252.57731958763 
PARAGUAY,367.088607594937,395,1850,369,571.815718157182 
PERU,1403.69799691834,649,2250,577,1053.72616984402 
PHILIPPINES,1055.78047683311,2223,1230,1930,1020.20725388601 
POLAND,463.780737704918,19520,4240,48610,120.44846739354 
ROMANIA,203.922894825837,2957,1520,6243,111.965401249399 
SOUTH AFRICA,687.700964630225,4976,3780,2926,874.231032125769 
SPAIN,724.319267817865,39553,16020,3980,1548.49246231156 
SRI LANKA,959.016393442623,366,790,531,527.306967984934 
THAILAND,1241.02001645188,7294,2720,1660,2260.24096385542 
TUNISIA,435.843302838377,4263,2160,1381,192.614047791455 
TURKMENISTAN,178.988326848249,257,550,31,4096.77419354839 
UKRAINE,63.1119343741731,7558,890,9632,47.9651162790698 
UNITED KINGDOM,1313.07344389403,23215,23240,45957,782.340013490872 
UNITED STATES OF AMERICA,2241.02413800322,47767,31390,53229,1351.66920287813 
URUGUAY,372.193436960276,2316,6970,562,695.729537366548 
VENEZUELA,765.356265356265,814,3350,460,2539.13043478261 
ZIMBABWE,160.031225604996,1281,670,123,975.609756097561 
