country,expense_in,tourism_in,ppp,tourism_out,expense_out
ALBANIA,1177.089421391,1711,4280,3404,497.356051703878
ARGENTINA,1038.99721448468,4308,9260,4981,1157.59887572777
ARMENIA,655.652173913043,575,3250,526,756.653992395437
AZERBAIJAN,542.28855721393,1005,4800,2363,206.517139229793
BANGLADESH,355.805243445693,267,710,2254,293.256433007986
BELARUS,5926.31578947368,95,5590,316,2379.74683544304
BOLIVIA,510.85141903172,599,1640,518,749.034749034749
BRAZIL,1173.4693877551,4802,7990,4950,2605.45454545455
BULGARIA,744.55480048789,5739,6420,4993,391.548167434408
CAMBODIA,676.688251618871,2162,690,340,479.411764705882
CANADA,989.260977314609,15737,43060,26204,1147.34391695924
CHILE,851.449275362319,2760,10030,1909,787.847040335254
CHINA,837.97542997543,50875,3650,47656,988.500923283532
COLOMBIA,1290.18612521151,2364,5090,2122,1319.98114985862
COSTA RICA,1040.5616224649,1923,6300,579,797.927461139896
CZECH REPUBLIC,922.694394213382,8848,18650,8904,486.972147349506
EGYPT,986.822225952661,11914,2140,4716,623.62171331637
ESTONIA,701.796988829529,2059,14470,752,925.531914893617
FINLAND,1198.94829097283,3423,48590,5832,896.090534979424
FRANCE,766.73961752905,76764,43760,25140,1791.96499602228
GREECE,1074.55581629232,14915,29060,3835,1074.31551499348
HONDURAS,736.961722488038,836,1840,395,913.924050632911
HUNGARY,774.232722455288,9058,13220,16640,195.372596153846
INDONESIA,957.147375079064,6324,2150,5053,1367.10864832773
IRELAND,1176.5196828488,7189,46570,7047,1125.86916418334
ISRAEL,2183.11072813442,2321,27210,4007,1058.39780384327
ITALY,969.842040750249,43239,37690,29060,1183.62009635237
JORDAN,916.336764317762,3789,3900,2054,585.199610516066
KAZAKHSTAN,430.127041742287,2755,6780,5423,243.22330813203
LATVIA,765.684051398337,1323,13930,3268,277.233782129743
MEXICO,561.263760852054,22346,8470,14104,619.469653998866
MOLDOVA,34285.7142857143,7,1570,93,3301.0752688172
MOROCCO,956.719817767654,8341,2770,2293,747.056258177061
NEPAL,860.78431372549,510,490,589,971.137521222411
OMAN,717.948717948718,1521,16170,1645,787.234042553191
PANAMA,1900,1200,7690,336,1497.02380952381
PARAGUAY,512.5284738041,439,2450,288,802.083333333333
PERU,1140.18691588785,2140,3920,1891,742.46430460074
PHILIPPINES,966.523036128605,3017,2490,3188,1272.27101631117
POLAND,827.838519764508,11890,12400,39270,200.865800865801
SAUDI ARABIA,618.885931907865,10897,17940,6032,3533.15649867374
SLOVAKIA,479.23744809362,5298,17010,3230,696.284829721362
SOUTH AFRICA,1238.44837421563,7012,5900,4424,1451.40144665461
SPAIN,1144.98447621603,52178,32770,12017,1896.23034035117
SRI LANKA,1683.03571428571,448,1970,963,763.239875389408
SWAZILAND,44.1629955947137,908,2670,1245,78.714859437751
THAILAND,1400.28268551237,14150,3850,4653,1235.54695895121
TUNISIA,510.650630343428,6901,4130,2623,182.234083110942
TURKEY,872.262894623513,30187,9130,5561,910.088113648624
UGANDA,846.34448574969,807,490,311,1128.61736334405
UKRAINE,209.106644869699,20798,2840,15334,244.619799139168
UNITED KINGDOM,1306.28745700202,28199,42650,58614,1034.2580270925
UNITED STATES OF AMERICA,2649.61980291454,55103,48050,62051,1659.16745902564
URUGUAY,710.462287104623,2055,8770,826,535.108958837772
VENEZUELA,1877.22419928826,562,10150,1651,1377.95275590551
