country,expense_in,tourism_in,ppp,tourism_out,expense_out
ALBANIA,1392.65536723164,1062,3530,2979,446.79422625042
ARGENTINA,1092.50328803157,4562,7340,4167,1215.02279817615
ARMENIA,682.974559686888,511,2710,468,775.641025641026
AZERBAIJAN,433.060109289618,732,2710,1631,233.599019006744
BELARUS,4561.90476190476,105,4310,517,1400.38684719536
BOLIVIA,568.935427574171,573,1240,526,731.939163498099
BRAZIL,1051.33306804616,5026,5980,4651,2243.38851859815
BULGARIA,811.687051058047,5151,4720,4515,474.418604651163
CAMBODIA,580.14888337469,2015,580,996,194.779116465863
CANADA,1001.44967939783,17935,41230,25163,1235.90191948496
CHILE,887.913841244515,2507,8740,2047,997.557401074744
CHINA,751.571637426901,54720,2490,40954,812.350441959271
COLOMBIA,1147.29370008873,2254,4070,2028,1213.01775147929
COSTA RICA,1121.71717171717,1980,5640,577,1301.55979202773
CZECH REPUBLIC,829.775880469584,9370,15740,9048,409.372236958444
EL SALVADOR,592.233009708738,1339,3250,1012,358.695652173913
ESTONIA,745.263157894737,1900,13520,677,1187.59231905465
FINLAND,1218.24381926684,3519,46040,5749,837.01513306662
FRANCE,790.347915352553,80853,40250,28103,1638.65067786357
HONDURAS,679.850746268657,804,1620,315,980.952380952381
HUNGARY,651.539708265802,8638,11780,17056,181.050656660413
ICELAND,1748.45360824742,485,62220,460,2904.34782608696
INDIA,2210.54702872885,5082,950,9783,1092.71184708167
INDONESIA,1059.02651652742,5506,1600,5158,1275.30050407135
IRELAND,1111.73787806049,8332,50440,7713,1138.98612731752
ISRAEL,2131.10788582487,2067,23780,4147,1125.87412587413
ITALY,1057.03944655702,43654,35830,27734,1181.00526429653
JORDAN,802.681433984261,3431,3030,2094,489.01623686724
KAZAKHSTAN,313.209494324045,3876,4980,4544,307.218309859155
KYRGYZSTAN,236.714975845411,1656,610,559,384.615384615385
LATVIA,532.9703569268,1653,11120,3398,300.470865214832
MEXICO,650.513746181616,21606,8850,15257,650.062266500623
MOLDOVA,17615.3846153846,13,1160,82,3536.58536585366
MOROCCO,1121.35529157667,7408,2250,2669,531.285125515174
NEPAL,444.022770398482,527,380,469,857.142857142857
NORWAY,1215.90130226182,4377,78400,3395,3904.56553755523
OMAN,739.983646770237,1223,13470,2263,420.680512593902
PANAMA,1637.35267452403,1103,6300,314,1455.41401273885
PARAGUAY,290.865384615385,416,1820,242,760.330578512397
PERU,1047.49478079332,1916,3180,1915,649.086161879896
PHILIPPINES,1786.22250970246,3092,1900,3066,1092.95499021526
POLAND,780.367278797997,14975,9970,47561,175.395807489329
PORTUGAL,1050.8887265644,12321,20770,20989,231.835723474201
SAUDI ARABIA,598.994016130431,11531,15830,4126,5097.18856034901
SLOVAKIA,323.565827486587,7269,14840,3603,506.522342492367
SOUTH AFRICA,1124.84875151248,9091,5970,4433,1376.94563501015
SPAIN,1108.3080489551,58666,29920,11276,2159.89712664065
SRI LANKA,1518.21862348178,494,1540,862,822.505800464037
SWAZILAND,37.054085155351,869,2720,1130,55.7522123893805
THAILAND,1425.81581858407,14464,3270,4018,1714.03683424589
TUNISIA,498.816918071576,6762,3550,2743,193.21910317171
TURKEY,829.262690452492,26122,8500,4956,858.353510895884
UGANDA,626.168224299065,642,380,272,808.823529411765
UKRAINE,230.083902776576,23122,2570,17335,232.016152293049
UNITED KINGDOM,1557.72594752187,30870,46110,69450,1226.45068394528
UNITED STATES OF AMERICA,2569.2170660016,56135,48640,64049,1760.96426173711
URUGUAY,529.37820878494,1753,6370,635,557.48031496063
VENEZUELA,1285.71428571429,756,7520,1410,1595.03546099291
