country,expense_in,tourism_in,ppp,tourism_out,expense_out
ALBANIA,584.529226461323,2857,4510,3928,398.930753564155
ARGENTINA,882.785855322204,5571,14220,7544,1080.32873806999
ARMENIA,445.571955719557,1084,3780,1083,534.626038781163
AZERBAIJAN,1229.10798122066,2130,7350,4285,707.584597432906
BELARUS,8437.95620437956,137,6780,708,1882.76836158192
BOLIVIA,800.751879699248,798,2620,837,788.530465949821
BRAZIL,1206.60588336487,5813,12310,8666,3374.68266789753
BULGARIA,671.498985213105,6898,7280,3930,446.564885496183
CAMBODIA,687.648456057007,4210,960,872,537.844036697248
CANADA,1304.00398530419,16059,52570,32977,1306.72893228614
CHILE,879.194630872483,3576,15270,2999,811.937312437479
CHINA,1012.83985202744,55686,6740,98185,1408.54509344605
COLOMBIA,2079.98251748252,2288,7770,3605,1244.10540915395
COSTA RICA,1197.69357495881,2428,9780,790,710.126582278481
CZECH REPUBLIC,756.504854368932,10300,18970,5304,885.746606334842
EGYPT,735.448005232178,9174,2940,5782,563.991698374265
FRANCE,779.737034676487,84726,43550,26243,2025.56872308806
GEORGIA,927.845036319613,2065,3560,3220,166.770186335404
GREECE,972.991071428571,17920,22610,4594,820.200261210274
HONDURAS,716.2224797219,863,2190,471,1072.18683651805
HUNGARY,627.917921686747,10624,13260,16038,157.500935278713
INDIA,2732.77841561424,6968,1530,16626,832.431131961987
INDONESIA,1170.41581458759,8802,3740,7973,1289.35156152013
IRELAND,1154.7215496368,8260,43080,6579,945.736434108527
ISRAEL,2178.25793382849,2962,33930,4757,1088.08072314484
ITALY,968.136843870535,47704,35430,27798,1205.37448737319
JORDAN,1304.1825095057,3945,4940,1498,795.727636849132
KAZAKHSTAN,348.558668290702,4926,11560,10144,200.41403785489
LATVIA,774.739583333333,1536,15280,1246,722.3113964687
MEXICO,592.563454929402,24151,9770,15911,752.30972283326
MOLDOVA,27652.1739130435,11.5,2470,157,2764.33121019108
MOROCCO,816.344813856261,10046,2990,2194,912.488605287147
NEPAL,572.681704260652,798,720,983,604.272634791455
OMAN,1374.2816091954,1392,16870,3103,770.222365452788
PANAMA,3087.45476477684,1658,10860,619,1285.9450726979
PARAGUAY,490.16393442623,610,4190,440,965.909090909091
PERU,1240.5183312263,3164,6230,2364,894.24703891709
POLAND,782.658227848101,15800,13440,10050,892.73631840796
SAUDI ARABIA,550.976413898047,15772,25140,19154,973.582541505691
SOUTH AFRICA,1097.61979658173,9537,7410,5168,1255.99845201238
SRI LANKA,1965.49019607843,1275,3180,1262,1432.64659270998
SWAZILAND,13.7396694214876,968,2750,1573,61.0298792116974
THAILAND,1722.98188119185,26547,5320,5970,1378.5594639866
TURKEY,927.027384574679,37795,10970,7526,697.980334839224
UGANDA,998.341625207297,1206,620,378,1566.13756613757
UKRAINE,240.403712861254,24671,3760,23761,265.140356045621
UNITED KINGDOM,1697.80768116409,31063,41590,57792,1166.30329457364
UNITED STATES OF AMERICA,3066.06834064568,69973,54070,61900,2199.28917609047
URUGUAY,748.788669399925,2683,15640,2281,659.359929855327
VENEZUELA,939.148073022312,986,11780,1931,2805.28223718281
