country,expense_in,tourism_in,ppp,tourism_out,expense_out 
ARGENTINA,1113.14741035857,3012,7990,4592,1150.26132404181 
AUSTRALIA,3049.41176470588,3825,21770,3161,2550.45871559633 
BELARUS,152.112676056338,355,1550,901,153.163152053274 
BOLIVIA,354.005167958656,387,1000,299,327.759197324415 
BRAZIL,290.161892901619,4818,4820,4171,1443.05921841285 
BULGARIA,431.196100487439,2667,1390,2592,252.314814814815 
CAMBODIA,449.477351916376,287,290,41,853.658536585366 
CANADA,585.532591414944,18870,20760,17648,758.386219401632 
CHINA,527.619351493639,25073,800,8426,1180.03797768811 
COLOMBIA,1804.15430267062,674,2510,1093,1331.19853613907 
COSTA RICA,1100.74231177094,943,3480,330,1412.12121212121 
EGYPT,915.655150949269,3213,1210,2854,445.339873861247 
FINLAND,896.747352496218,2644,25790,4743,540.796963946869 
GABON,564.102564102564,195,3930,203,778.325123152709 
HONDURAS,545.171339563863,321,750,202,702.970297029703 
ICELAND,1603.44827586207,232,29000,227,1757.70925110132 
ISRAEL,1852.72914521112,1942,17710,2983,1083.80824673148 
ITALY,897.002833996508,34933,22140,19352,1060.40719305498 
JORDAN,611.17381489842,1772,1600,1347,476.614699331849 
KYRGYZSTAN,203.389830508475,59,360,33,757.575757575758 
MALAYSIA,583.138173302108,5551,3600,25631,84.272950723733 
MEXICO,428.372524752475,19392,4610,9637,501.608384351977 
MOLDOVA,3368.42105263158,19,460,28,2607.14285714286 
MOROCCO,624.878836833603,3095,1380,1275,389.019607843137 
NEPAL,534.48275862069,464,210,122,877.049180327869 
NICARAGUA,253.694581280788,406,890,422,222.748815165877 
PANAMA,1141.5313225058,431,3460,211,1161.13744075829 
PARAGUAY,365.714285714286,350,1720,318,701.25786163522 
PERU,1304.40771349862,726,2130,538,1193.30855018587 
PHILIPPINES,665.891112145184,2149,1200,1817,1112.82333516786 
POLAND,443.07774227902,18780,4380,49328,91.7126175802789 
ROMANIA,118.341200269724,2966,1520,6893,73.1176555926302 
SOUTH AFRICA,596.475924633636,5732,3370,3363,743.383883437407 
SPAIN,754.12966676215,41892,15650,4794,1484.98122653317 
SRI LANKA,968.503937007874,381,810,518,629.343629343629 
THAILAND,1014.15274767308,7843,2060,1412,1590.65155807365 
TUNISIA,419.669351420093,4718,2190,1526,177.588466579292 
UKRAINE,86.8234536082474,6208,850,7773,62.6527724173421 
UNITED KINGDOM,1335.21720792914,23710,24670,50872,814.947318760811 
UNITED STATES OF AMERICA,2266.10173146172,46377,32150,55696,1408.05443837978 
VENEZUELA,1122.62773722628,685,3340,752,1753.98936170213 
ZIMBABWE,79.5568982880161,1986,590,213,615.023474178404 
