country,expense_in,tourism_in,ppp,tourism_out,expense_out
ALBANIA,742.405832320778,2469,4390,4120,407.281553398058
ARGENTINA,1062.22611744084,5705,11920,6686,1118.30690996111
ARMENIA,643.799472295515,758,3420,715,763.636363636364
AZERBAIJAN,960.307298335467,1562,5530,3550,500.845070422535
BELARUS,6439.65517241379,116,6130,320,2278.125
BOLIVIA,701.82841068917,711,2010,775,529.032258064516
BRAZIL,1257.13233940733,5433,11010,7805,3212.04356181935
BULGARIA,719.658659924147,6328,6870,3803,393.899552984486
CAMBODIA,783.483691880638,2882,810,710,484.507042253521
CANADA,1248.22030723117,16014,47090,30450,1354.15435139573
CHILE,876.952502390819,3137,12350,2638,775.966641394996
CHINA,925.878327920668,57581,5000,70250,1124.6975088968
COLOMBIA,1861.41038197845,2042,6180,2522,1439.73037272006
COSTA RICA,1083.48540145985,2192,7980,717,728.033472803347
CZECH REPUBLIC,990.131943674465,9019,19380,5279,923.659784050009
EGYPT,982.73138885964,9497,2590,4863,529.508533826856
ESTONIA,631.519699812383,2665,15830,1054,890.891840607211
FINLAND,1333.73091603053,4192,49910,7274,826.092933736596
FRANCE,810.386266094421,81550,44220,26155,2120.89466641178
GEORGIA,810.462471569371,1319,2850,2237,171.658471166741
GREECE,989.590308638218,16427,24980,4941,770.491803278689
HONDURAS,736.509758897819,871,2090,449,993.318485523385
HUNGARY,706.243902439024,10250,13020,16634,183.239148731514
INDONESIA,1181.43790849673,7650,3010,6750,1281.92592592593
IRELAND,1248.49279161206,7630,42450,6514,1049.58550813632
ISRAEL,2142.19858156028,2820,31170,4387,1125.37041258263
ITALY,983.672672868015,46119,37690,29295,1219.35483870968
JORDAN,1098.73737373737,3960,4370,1931,662.868979803211
KAZAKHSTAN,372.343024676277,4093,8190,8020,228.304239401496
LATVIA,738.111185532485,1493,13090,3257,282.468529321461
MEXICO,532.32491560911,23403,8890,14799,655.719981079803
MOLDOVA,28111.1111111111,9,1980,136,2566.17647058824
MOROCCO,974.202526225648,9342,2900,2192,1031.02189781022
NEPAL,563.858695652174,736,610,774,542.635658914729
OMAN,1543.22200392927,1018,15160,2446,810.302534750613
PANAMA,2464.35845213849,1473,8240,414,1640.09661835749
PARAGUAY,498.091603053435,524,3260,347,887.608069164265
PERU,1083.14087759815,2598,4870,2132,829.268292682927
POLAND,868.76404494382,13350,12840,43270,205.246128957707
SAUDI ARABIA,657.098525989139,14179,20450,15281,1191.15241149139
SLOVAKIA,421.74131857071,5961,17430,3285,745.509893455099
SOUTH AFRICA,1283.84698405085,8339,7050,5455,1539.32172318973
SPAIN,1204.12268366057,56177,31280,13347,1738.89263504907
SRI LANKA,1660.04672897196,856,2580,1239,747.376916868442
SWAZILAND,24.2320819112628,879,2750,1264,61.7088607594937
SWEDEN,1112.73450332843,11567,56020,14651,1177.53054399017
THAILAND,1608.21632865315,19230,4590,5397,1356.30906058922
TUNISIA,528.526645768025,4785,4050,2303,294.398610508033
TURKEY,874.4156518728,34654,10490,6282,855.141674625915
UGANDA,848.827106863597,1151,570,367,1471.38964577657
UKRAINE,252.439878589774,21415,3110,19773,244.221918778132
UNITED KINGDOM,1505.3231420187,29306,40090,56836,1125.39587585333
UNITED STATES OF AMERICA,2986.72418458796,62821,50450,59209,1966.72803121147
URUGUAY,840.39201960098,2857,12010,1534,519.556714471969
VENEZUELA,1352.94117647059,595,11790,1719,1699.82547993019
