country,expense_in,tourism_in,ppp,tourism_out,expense_out
ARGENTINA,2756,2620,6960,4762,4888
ARMENIA,81,123,710,110,59
AUSTRALIA,12804,4435,20110,3443,8053
BELARUS,272,61,1300,1387,486
BOLIVIA,119,316,960,222,114
BRAZIL,1844,4773,3290,2674,3765
BULGARIA,1262,3186,1790,2730,836
CAMBODIA,429,605,310,37,59
CANADA,12680,19679,22870,18359,14634
CHILE,1184,1723,4850,1180,939
CHINA,19006,33167,1010,12133,14992
COLOMBIA,1483,616,2300,1381,1556
COSTA RICA,1339,1131,3880,361,434
EGYPT,4119,4357,1450,3074,1248
EL SALVADOR,452,735,2230,933,247
ESTONIA,661,1320,4310,1658,253
FINLAND,2065,2826,25780,5824,2442
FRANCE,38385,75202,23940,19265,26749
GABON,46,169,3420,189,256
HONDURAS,260,518,1030,279,205
INDIA,3342,2537,460,4564,4367
IRELAND,3789,6353,23930,4216,2956
ISRAEL,2854,1196,19040,3561,3887
ITALY,26916,39563,21080,22421,16997
JORDAN,884,1672,1840,1755,420
KAZAKHSTAN,502,1845,1350,2294,761
KYRGYZSTAN,32,99,280,46,21
LATVIA,153,591,4320,2697,255
MALAYSIA,7627,12775,3520,36248,3391
MEXICO,9190,19810,6240,12075,6685
MOLDOVA,58,16,400,30,90
MOROCCO,2966,4380,1320,1701,589
NEPAL,191,361,240,200,128
NORWAY,2380,3073,38250,2348,4718
PANAMA,665,519,3600,200,227
PARAGUAY,91,279,1290,157,130
PERU,763,901,1900,1060,773
PHILIPPINES,2011,1797,1220,1787,1918
POLAND,5121,15000,4750,53122,3595
RUSSIAN FEDERATION,4726,19457,1780,18030,9760
SOUTH AFRICA,3256,5787,2900,3733,2366
SPAIN,33829,48565,15580,4139,8466
SRI LANKA,347,337,830,505,402
SWEDEN,5200,7431,29390,10741,7916
THAILAND,9378,10133,1890,2011,3334
TUNISIA,2061,5387,2280,1669,322
UKRAINE,759,9174,730,14849,676
UNITED KINGDOM,26137,20982,27040,58281,46410
UNITED STATES OF AMERICA,109103,46927,36840,59442,85610
URUGUAY,700,1892,6500,531,338
VENEZUELA,677,584,4540,933,1718
