country,expense_in,tourism_in,ppp,tourism_out,expense_out

ARGENTINA,2550,2289,7330,3815,4013
BELARUS,28,161,1370,626,101
BOLIVIA,92,284,850,249,72
BRAZIL,1085,1991,3680,2600,3982
BULGARIA,662,3466,1360,3524,312
BURUNDI,2.424994244,34,150,36,0
CAMBODIA,71,220,300,31,22
CANADA,9176,16932,20670,18206,12658
COLOMBIA,887,1399,2140,1057,1162
COSTA RICA,763,785,3220,273,336
CUBA,1100,742,2550,72,0
EGYPT,2954,2871,920,2683,1371
EL SALVADOR,152,235,1590,348,99
ETHIOPIA,177,103,150,120,30
FRANCE,31295,60033,25910,18686,20699
HONDURAS,85,271,640,149,99
ICELAND,309,190,25350,166,0
IRELAND,2697.792733,4818,16920,2547,0
ISRAEL,3491,2215,15660,2259,2626
JORDAN,973,1075,1560,1128,719
MALAYSIA,5044,7469,4010,20642,2722
MEXICO,6847,20241,4570,8450,3587
MOLDOVA,71,32,470,71,73
MOROCCO,1469,2602,1230,1317,356
NEPAL,232,363,210,100,167
NICARAGUA,51,281,620,255,56
NORWAY,2730,2880,32700,590,4480.775209
PANAMA,372,345,2830,185,181
PARAGUAY,162,438,1680,427,173
PERU,521,479,1920,508,428
PHILIPPINES,1141,1760,1020,1615,551
POLAND,6927,19215,3220,36387,5865
ROMANIA,689,2757,1470,5737,749
SOUTH AFRICA,2654,4488,3850,2520,2414
SPAIN,27369,34920,14970,3648,5826
SRI LANKA,367,403,700,504,279
THAILAND,9257,6952,2730,1820,4791
TUNISIA,1838,4120,1820,1778,294
UNITED KINGDOM,27577,21719,20690,41345,30749.00043
UNITED STATES OF AMERICA,93743,43318,29150,51285,61042
VENEZUELA,995,700,2910,534,1852
ZIMBABWE,145,1363,600,256,106
