country,expense_in,tourism_in,ppp,tourism_out,expense_out
ALBANIA,1780,2191,4360,3443,1454
ARGENTINA,5629,5325,10600,5307,6375
ARMENIA,459,684,3370,563,462
AZERBAIJAN,792,1280,5370,3176,856
BELARUS,665,120,5990,415,748
BOLIVIA,339,679,1810,604,421
BRAZIL,5963,5161,9640,6498,19338
BULGARIA,4035,6047,6630,3676,1382
CAMBODIA,1671,2508,740,505,269
CANADA,18438,16219,44450,28680,36975
CENTRAL AFRICAN REPUBLIC,14.4,54,470,38,67
CHILE,2422,2801,10800,2219,1808
CHINA,50154,55664,4300,57386,59840
COLOMBIA,3441,1405,5540,2342,3188
COSTA RICA,2179,2100,7100,662,533
CZECH REPUBLIC,8068,8629,19210,8673,4354
EGYPT,13633,14051,2390,4618,2696
ESTONIA,1412,2372,14570,955,723
FINLAND,4510,3670,49330,6633,5267
FRANCE,56187,77648,43790,25041,46704
GEORGIA,737,1067,2680,2086,329
GREECE,13858,15007,27580,3799,3401
HONDURAS,626.7,863,1920,408,406
HUNGARY,6595,9510,13050,16082,2897
INDONESIA,7618,7003,2530,6235,8432
IRELAND,8187,7134,44100,6917,7178
ISRAEL,5824,2803,29480,4269,4725
ITALY,40058,43626,37700,29823,33054
JORDAN,4390,4207,4120,2708,1736
KAZAKHSTAN,1236,2991,7440,6019,1489
LATVIA,963,1373,12720,3332,771
MEXICO,12628,23290,8720,14334,9001
MOLDOVA,222,8,1820,117,298
MOROCCO,8176,9288,2830,2175,1879
NEPAL,378,603,540,765,528
OMAN,1256,1441,17120,1873,1768
PANAMA,2621,1324,8170,392,575
PARAGUAY,243,465,2930,302,261
PERU,2475,2299,4380,2058,1640
POLAND,9986,12470,12630,42760,9100
SAUDI ARABIA,7536,10850,18470,17827,22076
SLOVAKIA,2335,5415,17130,2692,2146
SOUTH AFRICA,10309,8074,6240,5165,8139
SPAIN,59042,52677,32130,12379,22733
SRI LANKA,1044,654,2260,1122,828
SWAZILAND,51.4,868,2600,1141,87
THAILAND,23809,15936,4300,5451,7151
TUNISIA,3477,6903,4160,2250,611
TURKEY,26318,31364,9950,6557,5817
UGANDA,802,946,530,324,464
UKRAINE,4696,21203,2990,17180,4134
UNITED KINGDOM,39645,28295,40470,55562,60968
UNITED STATES OF AMERICA,167996,60010,48950,61061,110049
URUGUAY,1669,2353,10390,1027,549
VENEZUELA,794,526,11530,1477,2238
