country,expense_in,tourism_in,ppp,tourism_out,expense_out
ALBANIA,1848,1247,4080,3716,1644
ARGENTINA,5295,4700,8630,4614,5962
ARMENIA,381,558,3520,516,397
AZERBAIJAN,382,1043,3870,2162,456
BELARUS,585,92,5470,380,860
BOLIVIA,302,594,1490,589,381
BRAZIL,6109,5050,7330,5244,13269
BULGARIA,4852,5780,5940,5727,2602
CAMBODIA,1280,2125,670,786,180
CANADA,18191,17142,44650,27034,33844
CHILE,2537,2710,10140,1900,1789
CHINA,44130,53049,3070,45844,40987
COLOMBIA,2936,2317,4660,2042,2775
COSTA RICA,2533,2089,6270,528,718
CZECH REPUBLIC,9228,9373,18300,9665,5029
ESTONIA,1643,2079,15060,692,939
FINLAND,4873,3583,49920,5854,5579
FRANCE,68001,79218,43510,25506,50361
GREECE,17586,15939,28330,3765,3946
HONDURAS,619.8,869,1780,387,385
HUNGARY,7533,8814,13150,17162,3857
INDIA,12462,5283,1030,10868,12083
INDONESIA,8150,6234,1940,5486,8801
IRELAND,9967,8026,51530,7877,10539
ISRAEL,5509,2572,25970,4207,4693
ITALY,48755,42734,37770,28284,37802
JORDAN,3539,3729,3530,1972,1140
KAZAKHSTAN,1255,3005,6150,4330,1361
LATVIA,1134,1684,13360,3782,1250
MEXICO,14726,22931,9350,14527,10246
MOLDOVA,293,7,1500,85,359
MOROCCO,8885,7879,2540,3421,1910
NEPAL,353,500,440,561,545
OMAN,1105,1373,16380,2062,1197
PANAMA,2208,1247,7170,369,560
PARAGUAY,128,428,2360,278,214
PERU,2396,2058,3760,1913,1432
PHILIPPINES,3293,3139,2240,3355,4285
POLAND,12837,12960,11920,50243,10689
SAUDI ARABIA,6775,14757,18380,4087,16005
SLOVAKIA,3004,6643,17110,3683,2596
SOUTH AFRICA,9178,9592,6030,4429,6905
SPAIN,70434,57192,32440,11229,27157
SRI LANKA,803,438,1770,966,777
SWAZILAND,26.3,756,2770,1177,59
THAILAND,22497,14584,3740,3908,6700
TUNISIA,3909,7050,3890,3118,555
TURKEY,26446,29792,9340,4893,4509
UGANDA,536,844,430,337,315
UKRAINE,6722,25449,3220,15499,4585
UNITED KINGDOM,45796,30142,46860,69011,82509
UNITED STATES OF AMERICA,164721,58007,49330,63653,119838
URUGUAY,1195,1938,7690,734,466
VENEZUELA,1097,699,9230,1745,2594
