country,expense_in,tourism_in,ppp,tourism_out,expense_out
ARGENTINA,3899,4173,6170,3892,4038
ARMENIA,309,382,1990,329,297
AUSTRALIA,20408,5064,34160,4941,17293
AZERBAIJAN,201,682,1890,1836,256
BELARUS,401,90,3520,525,675
BOLIVIA,330,521,1120,472,360
BRAZIL,4577,5017,4710,3880,7501
BULGARIA,3317,5158,4150,4180,2099
CAMBODIA,1109,1700,520,787,176
CANADA,16837,18265,37610,22731,26067
CENTRAL AFRICAN REPUBLIC,10.2,14,350,11,47
CHILE,1891,2253,7360,1887,1573
CHINA,37132,49913,2050,34524,28242
COSTA RICA,1865,1725,5310,485,577
CZECH REPUBLIC,6702,9539,13920,6393,2874
EGYPT,8133,8646,1330,4531,2156
EL SALVADOR,686,1279,3040,1242,307
ESTONIA,1361,1940,11510,438,706
FINLAND,3515,3375,42740,5756,4099
FRANCE,54587,77916,37960,22240,39299
GAMBIA,69,125,420,307,8
HONDURAS,515.7,739,1470,295,425
HUNGARY,4998,9259,11250,16597,2319
ICELAND,702,422,53470,440,1084
INDIA,8915,4447,810,8340,8738
INDONESIA,4890,4871,1380,4967,5458
IRELAND,7664,8001,47940,6848,6978
ISRAEL,3802,1825,22110,3713,4085
ITALY,41644,41058,34210,25697,27437
JORDAN,2426,3225,2720,2139,956
KAZAKHSTAN,973,3468,3860,3688,1060
KYRGYZSTAN,189,766,500,454,142
LATVIA,622,1535,9060,3151,788
MEXICO,13329,21353,8280,14002,9387
MOLDOVA,150,13,1030,68,224
MOROCCO,6900,6558,2130,2135,1113
NEPAL,157,384,340,415,261
NORWAY,4289,4070,69980,3236,11273
OMAN,749,1066,11640,2248,894
PANAMA,1425,843,5580,284,403
PARAGUAY,112,388,1470,210,144
PERU,1775,1721,2790,1857,1047
PHILIPPINES,4051,2843,1650,2745,3075
POLAND,8122,15670,8440,44696,7654
PORTUGAL,10482,11282,19330,18378,4146
RUSSIAN FEDERATION,9720,,5800,29107,18850
SLOVAKIA,1655,6579,12880,3149,1230
SOUTH AFRICA,9211,8396,5690,4339,5230
SPAIN,57543,58004,27970,10678,20348
SRI LANKA,733,560,1350,757,666
SWAZILAND,75.1,873,2560,1072,54
THAILAND,16614,13822,2870,3382,6173
TUNISIA,2999,6550,3370,2302,498
TURKEY,19137,18916,7510,8275,3517
UGANDA,347,539,340,254,196
UKRAINE,4018,18936,1950,16875,3202
UNITED KINGDOM,43876,30654,43430,69536,76344
UNITED STATES OF AMERICA,126778,50977,48080,63663,106848
URUGUAY,711,1749,5380,666,305
VENEZUELA,843,748,6050,1095,1807
