country,expense_in,tourism_in,ppp,tourism_out,expense_out
ARGENTINA,1716,2820,4020,3008,2744
ARMENIA,81,162,800,131,85
AUSTRALIA,13624,4420,19960,3461,8494
AZERBAIJAN,63,576,720,1141,110
BANGLADESH,59,207,420,1158,309
BELARUS,295,63,1380,1436,527
BOLIVIA,143,334,930,217,114
BRAZIL,2142,3785,3040,2338,2929
BULGARIA,1392,3433,1950,3188,1018
CAMBODIA,509,787,320,45,64
CANADA,12744,20057,23330,17705,14257
CENTRAL AFRICAN REPUBLIC,3,3,250,5,29
CHILE,1221,1412,4630,1293,932
CHINA,21742,36803,1100,16602,16759
COLOMBIA,1237,567,2330,1277,1355
COSTA RICA,1292,1113,3970,364,430
EGYPT,4133,4906,1360,3330,1309
EL SALVADOR,521,798,2310,1001,266
ESTONIA,737,1362,4620,1849,305
FINLAND,2235,2875,25510,5857,2438
FRANCE,40537,77012,23180,18315,27808
GABON,77,208,3600,219,234
HONDURAS,305,550,1130,279,221
INDIA,3300,2384,470,4940,4350
INDONESIA,5797,5033,720,3231,5042
IRELAND,4228,6476,24650,4634,3835
ISRAEL,2426,862,18350,3273,3322
ITALY,28192,39799,20640,25126,19636
JORDAN,1254,2384,1880,1276,504
KAZAKHSTAN,680,2832,1520,2274,863
KYRGYZSTAN,48,140,290,59,27
LATVIA,201,848,4860,2306,267
MALAYSIA,8084,13292,3760,29866,3330
MEXICO,9547,19667,6580,11948,7087
MOLDOVA,72,18,460,52,109
MOROCCO,3157,4453,1300,1533,669
NEPAL,134,275,240,238,108
NORWAY,2581,3111,39900,2629,5610
OMAN,539,817,8000,2060,702
PANAMA,710,534,3720,200,252
PARAGUAY,76,250,1190,141,117
PERU,836,1064,1960,1232,806
PHILIPPINES,2018,1933,1180,1969,1874
POLAND,4971,13980,4930,45043,3440
RUSSIAN FEDERATION,5278,21279,2100,20428,11362
SOUTH AFRICA,3695,6430,2710,3794,2251
SPAIN,35468,50331,15580,3871,9366
SRI LANKA,594,393,860,533,438
SWEDEN,5671,7458,28740,12888,8221
THAILAND,10388,10873,1890,2250,3888
TUNISIA,1831,5064,2210,1939,303
UKRAINE,1001,10517,790,14729,794
UNITED KINGDOM,27819,22307,27420,59377,51125
UNITED STATES OF AMERICA,104427,43581,37470,58066,81860
URUGUAY,409,1258,5140,530,243
VENEZUELA,484,432,3940,881,1546
